City,Latitude,Longitude
SHARON,-71.1786627,42.1237102
SHEFFIELD,-73.3551148,42.1103686
SOMERSET,-71.128656,41.7695463
SOMERVILLE,-71.0994968,42.3875968
SOUTH BOSTON,-71.0494949,42.33343120000001
SOUTH HADLEY,-72.5745332,42.2584245
SOUTH WELLFLEET,-69.9952985,41.9181613
SOUTH WEYMOUTH,-70.9494899,42.1751002
SOUTHBOROUGH,-71.52450870000001,42.3056501
SOUTHWICK,-72.7703724,42.0548167
SPRINGFIELD,-72.589811,42.1014831
STONEHAM,-71.09949759999998,42.4800954
STOUGHTON,-71.1022712,42.1250995
STOW,-71.50500090000001,42.4365949
SUDBURY,-71.4161725,42.3834278
TAUNTON,-71.08976750000002,41.900101
TEWKSBURY,-71.2342248,42.6106479
TOWNSEND,-71.7050718,42.6667555
TRURO,-70.0497457,41.993437
TYRINGHAM,-73.20371709999998,42.2459215
VINEYARD HAVEN,-70.6038026,41.4542914
WALPOLE,-71.2494985,42.1417653
WALTHAM,-71.2358004,42.3756401
WATERTOWN,-71.1828321,42.3709299
WAYLAND,-71.36067209999999,42.3632063
WEBSTER,-71.880072,42.0500965
WELLESLEY,-71.2925571,42.2964859
WENDELL,-72.39675240000003,42.5481429
WEST ROXBURY,-71.14949720000001,42.2792649
WEST SPRINGFIELD,-72.6203675,42.1070383
WEST TISBURY,-70.6744723,41.3812245
WESTBOROUGH,-71.6129907,42.2694308
WESTFIELD,-72.7495381,42.1250929
WESTFORD,-71.4378411,42.5792583
WESTHAMPTON,-72.7745382,42.3028667
WESTWOOD,-118.4390445,34.0519167
WEYMOUTH,-70.9391625,42.2212188
WHITINSVILLE,-71.6661783,42.1112075
WHITMAN,-70.935599,42.0806617
WILLIAMSTOWN,-73.20359859999998,42.712207
WILMINGTON,-71.17366690000001,42.5464828
WINCHESTER,-71.13699820000002,42.4523178
WOBURN,-71.1522766,42.4792618
WOODS HOLE,-70.66942929999998,41.5239468
WORCESTER,-71.8022934,42.26259320000001
WRENTHAM,-71.32811140000003,42.0667652
YARMOUTHPORT,-70.2138407797034,41.7151891
