"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Pittiglio Rabin Todd & McGrath","https://www.usgbc.org/projects/pittiglio-rabin-todd-mcgrath","26 Jan 2010","Waltham","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Price Chopper - Lenox","https://www.usgbc.org/projects/price-chopper-lenox","","Lenox","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Virgin Money Offices","https://www.usgbc.org/projects/virgin-money-offices","16 Jul 2009","Waltham","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Certified"
"Harbor South Tower","https://www.usgbc.org/projects/harbor-south-tower","1 Sep 2009","Quincy","Massachusetts [MA]","United States [us]","Core and Shell","v2.0","Silver"
"Castle Square Apartments","https://www.usgbc.org/projects/castle-square-apartments","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"BARRE FAMILY HEALTH CENTER","https://www.usgbc.org/projects/barre-family-health-center","28 Jul 2008","Barre","Massachusetts [MA]","United States [us]","New Construction","v2.1","Certified"
"One Rogers Street","https://www.usgbc.org/projects/one-rogers-street","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Newton North High School","https://www.usgbc.org/projects/newton-north-high-school","20 Jan 2011","NEWTON","Massachusetts [MA]","United States [us]","Schools - New Construction","v2007","Gold"
"Blanchard Campus Center Addition & Renov","https://www.usgbc.org/projects/blanchard-campus-center-addition-renov","11 Aug 2004","South Hadley","Massachusetts [MA]","United States [us]","New Construction","v2.0","Certified"
"CISCO-Boston","https://www.usgbc.org/projects/cisco-boston","29 Jun 2009","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Certified"
"Methuen Readiness Center","https://www.usgbc.org/projects/methuen-readiness-center","29 Aug 2011","Methuen","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Harvard Northwest Labs Teaching Labs","https://www.usgbc.org/projects/harvard-northwest-labs-teaching-labs","13 Sep 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Harvard Northwest Labs Biophysics","https://www.usgbc.org/projects/harvard-northwest-labs-biophysics","18 Aug 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"East Hall, WPI","https://www.usgbc.org/projects/east-hall-wpi","25 Jun 2009","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"650 E. Kendall Street","https://www.usgbc.org/projects/650-e-kendall-street","10 Aug 2010","Cambridge","Massachusetts [MA]","United States [us]","Core and Shell","v2.0","Gold"
"Payette Office Atlantic Wharf","https://www.usgbc.org/projects/payette-office-atlantic-wharf","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009",""
"253 Summer Street","https://www.usgbc.org/projects/253-summer-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"McCollum Hall","https://www.usgbc.org/projects/mccollum-hall","23 Jul 2008","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Novartis Mass Ave Office Building","https://www.usgbc.org/projects/novartis-mass-ave-office-building","29 Feb 2008","CAMBRIDGE","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"Seaport East","https://www.usgbc.org/projects/seaport-east","28 Sep 2009","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Silver"
"Seaport West","https://www.usgbc.org/projects/seaport-west","28 Sep 2009","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Silver"
"NORTHAMPTON SENIOR CENTER","https://www.usgbc.org/projects/northampton-senior-center","27 Jan 2009","NORTHAMPTON","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"0192 Cambridge City Hall Annex","https://www.usgbc.org/projects/0192-cambridge-city-hall-annex","1 Sep 2005","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2.0","Gold"
"Ford Hall","https://www.usgbc.org/projects/ford-hall","31 May 2010","NORTHAMPTON","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"Murthy Lab renovation - BioLabs","https://www.usgbc.org/projects/murthy-lab-renovation-biolabs","16 Feb 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Genzyme Center","https://www.usgbc.org/projects/genzyme-center","23 Aug 2005","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2.0","Platinum"
"255 State Street","https://www.usgbc.org/projects/255-state-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"DEPT. OF  FIRE SERVICES EXPANS","https://www.usgbc.org/projects/dept-fire-services-expans","28 Sep 2012","STOW","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"KlingStubbins One Broadway","https://www.usgbc.org/projects/klingstubbins-one-broadway","9 Mar 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Gold"
