"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Parcel C at Fan Pier","https://www.usgbc.org/projects/parcel-c-fan-pier","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Hillview Townhomes Burlington","https://www.usgbc.org/projects/hillview-townhomes-burlington","","Burlington","Massachusetts [MA]","United States [us]","Homes","v2008",""
"Parcel D at Fan Pier","https://www.usgbc.org/projects/parcel-d-fan-pier","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Parcel E at Fan Pier","https://www.usgbc.org/projects/parcel-e-fan-pier","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Preservation Mill","https://www.usgbc.org/projects/preservation-mill","","Fitchburg","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Parcel H at Fan Pier","https://www.usgbc.org/projects/parcel-h-fan-pier","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Parcel I at Fan Pier","https://www.usgbc.org/projects/parcel-i-fan-pier","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Pearle L. Crawford Memorial Library","https://www.usgbc.org/projects/pearle-l-crawford-memorial-library","5 Sep 2011","Dudley","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"One Beacon Street","https://www.usgbc.org/projects/one-beacon-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"Vecitis Lab","https://www.usgbc.org/projects/vecitis-lab","10 Jan 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"Wyss Institute - 58 Oxford St","https://www.usgbc.org/projects/wyss-institute-58-oxford-st","24 Feb 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"Springlawn","https://www.usgbc.org/projects/springlawn","","Lenox","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Suffolk University NESAD","https://www.usgbc.org/projects/suffolk-university-nesad","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"CoStar Boston","https://www.usgbc.org/projects/costar-boston","27 Apr 2011","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"Cotting School Energy Retrofit","https://www.usgbc.org/projects/cotting-school-energy-retrofit","","Lexington","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"TUSDM Level 2 Renovation","https://www.usgbc.org/projects/tusdm-level-2-renovation","2 Feb 2012","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Gold"
"Pope Hall Bridgewater State College","https://www.usgbc.org/projects/pope-hall-bridgewater-state-college","22 Feb 2010","Bridgewater","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Scott Hall Bridgewater State College","https://www.usgbc.org/projects/scott-hall-bridgewater-state-college","12 Apr 2010","Bridgewater","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"25 Mall Road","https://www.usgbc.org/projects/25-mall-road","","Burlington","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"28 State Street","https://www.usgbc.org/projects/28-state-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"60 State Street","https://www.usgbc.org/projects/60-state-street-0","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"Village Office and Retail","https://www.usgbc.org/projects/village-office-and-retail","","Roslindale","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"100 Wason Avenue Medical Office Building","https://www.usgbc.org/projects/100-wason-avenue-medical-office-building","16 Nov 2010","Springfield","Massachusetts [MA]","United States [us]","Core and Shell","v2.0","Certified"
"Lexington DPW","https://www.usgbc.org/projects/lexington-dpw","16 Dec 2010","Lexington","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"DC Beane and Assoc Fit Out","https://www.usgbc.org/projects/dc-beane-and-assoc-fit-out","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009",""
"GATEHOUSE","https://www.usgbc.org/projects/gatehouse","9 Jul 2009","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.1","Certified"
"Gate Building","https://www.usgbc.org/projects/gate-building","16 Nov 2012","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2009","Silver"
"Crew Building","https://www.usgbc.org/projects/crew-building","19 Oct 2012","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2009","Silver"
"NGS - Onawa Lane - Long House","https://www.usgbc.org/projects/ngs-onawa-lane-long-house","","Falmouth","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Assembly Row","https://www.usgbc.org/projects/assembly-row","","Somerville","Massachusetts [MA]","United States [us]","Neighborhood Development plan","v2009",""
"100 Summer St.","https://www.usgbc.org/projects/100-summer-st","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"125 Summer St.","https://www.usgbc.org/projects/125-summer-st","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"150 Federal St.","https://www.usgbc.org/projects/150-federal-st","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"WAINWRIGHT BANK NEWTON CENTRE","https://www.usgbc.org/projects/wainwright-bank-newton-centre","23 May 2007","NEWTON","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"175 Wyman Street","https://www.usgbc.org/projects/175-wyman-street","28 Apr 2010","Waltham","Massachusetts [MA]","United States [us]","Core and Shell","v2.0","Gold"
"Charles Park","https://www.usgbc.org/projects/charles-park","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"330 STUART STREET","https://www.usgbc.org/projects/330-stuart-street","21 Dec 2006","BOSTON","Massachusetts [MA]","United States [us]","New Construction","v2.1","Certified"
"Food Bank of Western Mass","https://www.usgbc.org/projects/food-bank-western-mass","21 Nov 2007","Hatfield","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Gold"
"One Franklin Hotel","https://www.usgbc.org/projects/one-franklin-hotel","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"Presidential Woods Corporate Center","https://www.usgbc.org/projects/presidential-woods-corporate-center","","Woburn","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"Macallen Building","https://www.usgbc.org/projects/macallen-building","28 Mar 2008","South Boston","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"MATHER DUNSTER RENOVATION","https://www.usgbc.org/projects/mather-dunster-renovation","22 Jun 2006","CAMBRIDGE","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"The Merano","https://www.usgbc.org/projects/merano","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Book Depository - Mod 7","https://www.usgbc.org/projects/book-depository-mod-7","15 Jul 2011","Southborough","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Dental Associates of New England","https://www.usgbc.org/projects/dental-associates-new-england","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009",""
"New England Environmental, Inc.","https://www.usgbc.org/projects/new-england-environmental-inc","7 Jul 2011","Amherst","Massachusetts [MA]","United States [us]","New Construction","v2.2","Platinum"
"Knoll Inc - Boston Showroom","https://www.usgbc.org/projects/knoll-inc-boston-showroom","7 Nov 2012","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"Westfield Model School","https://www.usgbc.org/projects/westfield-model-school","","Westfield","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009",""
"33 Arch Street","https://www.usgbc.org/projects/33-arch-street","19 Mar 2010","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Gold"
"Topia Art Center","https://www.usgbc.org/projects/topia-art-center","","Adams","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"ReStore Deep Energy Retrofit","https://www.usgbc.org/projects/restore-deep-energy-retrofit","","Springfield","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Beyond Green Offgrid condo project","https://www.usgbc.org/projects/beyond-green-offgrid-condo-project","","Easthampton","Massachusetts [MA]","United States [us]","Homes","v2008",""
"30 BHOP C & S","https://www.usgbc.org/projects/30-bhop-c-s","","Braintree","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"10 West Street","https://www.usgbc.org/projects/10-west-street","23 Aug 2008","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Chase Mills, Sasaki Office-Recertify","https://www.usgbc.org/projects/chase-mills-sasaki-office-recertify","","Watertown","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"35 Main Street","https://www.usgbc.org/projects/35-main-street","","Stockbridge","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"C Change Investments","https://www.usgbc.org/projects/c-change-investments","","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"Cambridge Alewife","https://www.usgbc.org/projects/cambridge-alewife","","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"MIT Sloan School of Management E60","https://www.usgbc.org/projects/mit-sloan-school-management-e60","11 Oct 2012","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"101 Huntington Avenue","https://www.usgbc.org/projects/101-huntington-avenue","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"111 Huntington Avenue","https://www.usgbc.org/projects/111-huntington-avenue","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"New Quincy Center","https://www.usgbc.org/projects/new-quincy-center","","Quincy","Massachusetts [MA]","United States [us]","Neighborhood Development plan","v2009",""
"Greenworks Building","https://www.usgbc.org/projects/greenworks-building","10 Mar 2008","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Certified"
"COPLEY","https://www.usgbc.org/projects/copley","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"145-201 West Highland Avenue","https://www.usgbc.org/projects/145-201-west-highland-avenue","","Seekonk","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"200 & 201 Summer Street","https://www.usgbc.org/projects/200-201-summer-street","","Holliston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Rowes Wharf","https://www.usgbc.org/projects/rowes-wharf","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"One Post Office Square","https://www.usgbc.org/projects/one-post-office-square","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Syska Cambridge Office","https://www.usgbc.org/projects/syska-cambridge-office","26 Jul 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"225 Franklin St","https://www.usgbc.org/projects/225-franklin-st","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"125 High St","https://www.usgbc.org/projects/125-high-st","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"TRO Jung|Brannen","https://www.usgbc.org/projects/tro-jungbrannen","18 Jul 2009","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Liberty Mutual Group HQ","https://www.usgbc.org/projects/liberty-mutual-group-hq","17 Oct 2011","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009","Gold"
"Haberlin Hall Addition & Renovation","https://www.usgbc.org/projects/haberlin-hall-addition-renovation","10 Nov 2010","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"One International Place","https://www.usgbc.org/projects/one-international-place","23 Apr 2012","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Silver"
"Two International Place","https://www.usgbc.org/projects/two-international-place","21 Dec 2012","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Silver"
"Cail Caldwell and Morgan Assoc.","https://www.usgbc.org/projects/cail-caldwell-and-morgan-assoc","","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"HSPH Genetics and Complex Diseases","https://www.usgbc.org/projects/hsph-genetics-and-complex-diseases","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"HSPH Immunology & Infectious Diseases","https://www.usgbc.org/projects/hsph-immunology-infectious-diseases","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"Aviation Readiness Center","https://www.usgbc.org/projects/aviation-readiness-center","","Westfield","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Washington Beech Phase 1A","https://www.usgbc.org/projects/washington-beech-phase-1a","","Boston","Massachusetts [MA]","United States [us]","Homes","v2008",""
"J. W. McCormack Repair & Alterations","https://www.usgbc.org/projects/j-w-mccormack-repair-alterations","28 Jun 2010","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"NBBJ - One Beacon Street","https://www.usgbc.org/projects/nbbj-one-beacon-street","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009",""
"Citizenship & Immigration Services","https://www.usgbc.org/projects/citizenship-immigration-services","22 Feb 2010","Lawrence","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Harvard Center for Popul. & Dev. Studies","https://www.usgbc.org/projects/harvard-center-popul-dev-studies","","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"269 A North Street","https://www.usgbc.org/projects/269-north-street","","Hingham, MA","Massachusetts [MA]","United States [us]","Homes","v2008",""
"269 B North Street","https://www.usgbc.org/projects/269-b-north-street","","Hingham, MA","Massachusetts [MA]","United States [us]","Homes","v2008",""
"Worcester State College Admin. Building","https://www.usgbc.org/projects/worcester-state-college-admin-building","17 Jun 2010","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"EF Education","https://www.usgbc.org/projects/ef-education","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"Boxford Public Library","https://www.usgbc.org/projects/boxford-public-library","","Boxford","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Mango Lab Renovation - BioLabs","https://www.usgbc.org/projects/mango-lab-renovation-biolabs","13 Apr 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Herbaria,  1st Floor Lab","https://www.usgbc.org/projects/herbaria-1st-floor-lab","18 Nov 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Burton Lab Renovation - BioLabs","https://www.usgbc.org/projects/burton-lab-renovation-biolabs","3 Mar 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Old Colony Public Housing Redevelopment","https://www.usgbc.org/projects/old-colony-public-housing-redevelopment-0","","South Boston","Massachusetts [MA]","United States [us]","Neighborhood Development","v2009",""
"Egleston Square Substation","https://www.usgbc.org/projects/egleston-square-substation","22 Oct 2008","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Seaport Square Parcel A","https://www.usgbc.org/projects/seaport-square-parcel","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"399 Boylston Street","https://www.usgbc.org/projects/399-boylston-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"VHB Corporate Headquarters","https://www.usgbc.org/projects/vhb-corporate-headquarters","","Watertown","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"MassArt Kennedy Campus Center","https://www.usgbc.org/projects/massart-kennedy-campus-center","23 Nov 2011","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Mitchell's Book Corner","https://www.usgbc.org/projects/mitchells-book-corner","7 Apr 2010","Nantucket","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"One Financial","https://www.usgbc.org/projects/one-financial","19 Jan 2009","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Silver"
"Peabody Terrace Graduate Commons","https://www.usgbc.org/projects/peabody-terrace-graduate-commons","16 Jan 2013","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"18-20 Franklin Street","https://www.usgbc.org/projects/18-20-franklin-street","","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"1-2 Brattle Circle","https://www.usgbc.org/projects/1-2-brattle-circle","","Cambridge","Massachusetts [MA]","United States [us]","Homes","v2008",""
"4-5 Brattle Circle","https://www.usgbc.org/projects/4-5-brattle-circle","","Cambridge","Massachusetts [MA]","United States [us]","Homes","v2008",""
"6-7 Brattle Circle","https://www.usgbc.org/projects/6-7-brattle-circle","","Cambridge","Massachusetts [MA]","United States [us]","Homes","v2008",""
"New Natick High School","https://www.usgbc.org/projects/new-natick-high-school-0","","Natick","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"SIGNATURE LOGAN TERMINAL","https://www.usgbc.org/projects/signature-logan-terminal","16 May 2008","EAST BOSTON","Massachusetts [MA]","United States [us]","New Construction","v2.1","Certified"
"ADD 311 - Office Project","https://www.usgbc.org/projects/add-311-office-project","15 Sep 2009","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Platinum"
"ECGA Cox Reservation Headquarters","https://www.usgbc.org/projects/ecga-cox-reservation-headquarters","23 Aug 2010","Essex","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"Moorcroft Office Renovation","https://www.usgbc.org/projects/moorcroft-office-renovation","21 Mar 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Nobis Engineering Merrimack Valley HQ","https://www.usgbc.org/projects/nobis-engineering-merrimack-valley-hq","20 Jan 2010","Lowell","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"ISO-NEW ENGLAND","https://www.usgbc.org/projects/iso-new-england-0","6 Dec 2007","HOLYOKE","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"Deloitte Practice Office - Boston, MA","https://www.usgbc.org/projects/deloitte-practice-office-boston-ma","10 Feb 2010","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Chapman Office Renovation","https://www.usgbc.org/projects/chapman-office-renovation","8 Sep 2009","Newton","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Platinum"
"VHB Corporate Headquarters","https://www.usgbc.org/projects/vhb-corporate-headquarters-0","","Watertown","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Winchester Hospital Cancer Center","https://www.usgbc.org/projects/winchester-hospital-cancer-center","6 Aug 2012","Winchester","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"One Newton Place - MOCA Offices","https://www.usgbc.org/projects/one-newton-place-moca-offices","9 Jun 2010","Newton","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Highland Fire Station","https://www.usgbc.org/projects/highland-fire-station-0","11 May 2012","Arlington","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"JOHN F. KENNEDY FEDERAL BUILDI","https://www.usgbc.org/projects/john-f-kennedy-federal-buildi","","BOSTON","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"Master Site - Burlington Research Center","https://www.usgbc.org/projects/master-site-burlington-research-center","","Burlington","Massachusetts [MA]","United States [us]","Core and Shell","v2009",""
"KFC/Taco Bell","https://www.usgbc.org/projects/kfctaco-bell","2 Jul 2009","Northampton","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"One Memorial Drive","https://www.usgbc.org/projects/one-memorial-drive","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"EPS Museum 2nd Floor","https://www.usgbc.org/projects/eps-museum-2nd-floor","23 May 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"CHC Cape Cod","https://www.usgbc.org/projects/chc-cape-cod","","Mashpee","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Littauer Fine Arts Library","https://www.usgbc.org/projects/littauer-fine-arts-library","15 Dec 2009","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Residences on the Charles- A","https://www.usgbc.org/projects/residences-charles","","Watertown","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Residences on the Charles - B","https://www.usgbc.org/projects/residences-charles-b","","Watertown","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"EPS Pearson Lab, Hoffman Building","https://www.usgbc.org/projects/eps-pearson-lab-hoffman-building","7 Jul 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Kunes and Francis Labs, BioLabs building","https://www.usgbc.org/projects/kunes-and-francis-labs-biolabs-building","22 Feb 2012","Cambrdige","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"50 Hampshire","https://www.usgbc.org/projects/50-hampshire","2 Nov 2011","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Gold"
"Orange Innovation Center","https://www.usgbc.org/projects/orange-innovation-center","","Orange","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Two Twenty Two Berkeley by EOP","https://www.usgbc.org/projects/two-twenty-two-berkeley-eop","20 Oct 2010","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009","Gold"
"Volpe Center, RITA, US DOT","https://www.usgbc.org/projects/volpe-center-rita-us-dot","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Carver Elementary School","https://www.usgbc.org/projects/carver-elementary-school","","Carver","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009",""
"Adobe","https://www.usgbc.org/projects/adobe-0","20 May 2011","Waltham","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"Perkins Lower School","https://www.usgbc.org/projects/perkins-lower-school","3 May 2012","Watertown","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Gold"
"Roger Williams Univ. New Academic Bldg.","https://www.usgbc.org/projects/roger-williams-univ-new-academic-bldg","","Bristol","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"OFFICE ENVIRONMENTS OF NEW ENG","https://www.usgbc.org/projects/office-environments-new-eng","","BOSTON","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"NSTAR Electric Ave Brighton Substation","https://www.usgbc.org/projects/nstar-electric-ave-brighton-substation","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"TD Bank -535 Boylston St,Boston,MA 02116","https://www.usgbc.org/projects/td-bank-535-boylston-stbostonma-02116","27 Jun 2011","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Harvard University - Hip Hop Archive","https://www.usgbc.org/projects/harvard-university-hip-hop-archive","5 Aug 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"One Memorial Drive","https://www.usgbc.org/projects/one-memorial-drive-0","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"Harvard Northwest Labs East Wing Offices","https://www.usgbc.org/projects/harvard-northwest-labs-east-wing-offices","23 Sep 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"400 Technology Square","https://www.usgbc.org/projects/400-technology-square-0","","Cambridge","Massachusetts [MA]","United States [us]","Core and Shell","v2009",""
"Olin Center","https://www.usgbc.org/projects/olin-center","","Needham","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"North Point Parcel J","https://www.usgbc.org/projects/north-point-parcel-j","","Cambridge","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"Project Hope","https://www.usgbc.org/projects/project-hope","13 Sep 2007","BOSTON","Massachusetts [MA]","United States [us]","New Construction","v2.1","Silver"
"BRIDGEWATER STATE RESIDENCE H","https://www.usgbc.org/projects/bridgewater-state-residence-h","18 May 2009","BRIDGEWATER","Massachusetts [MA]","United States [us]","New Construction","v2.1","Silver"
"MASSACHUSETTS MARITIME ACADEMY","https://www.usgbc.org/projects/massachusetts-maritime-academy","1 Apr 2008","BUZZARDS BAY","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"Albert Sherman and Parking Garage","https://www.usgbc.org/projects/albert-sherman-and-parking-garage","","Worcester","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"120 Presidential","https://www.usgbc.org/projects/120-presidential","30 Jun 2010","Woburn","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Silver"
"Codman Square Health and Education Ctr","https://www.usgbc.org/projects/codman-square-health-and-education-ctr","","Dorchester","Massachusetts [MA]","United States [us]","Retail - Commercial Interiors","v2009",""
"TD Bank - Brighton MA - Market St","https://www.usgbc.org/projects/td-bank-brighton-ma-market-st","1 Nov 2011","Boston","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"Claire T Carney Library Renovation","https://www.usgbc.org/projects/claire-t-carney-library-renovation","","Dartmouth","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"99 Summer Street","https://www.usgbc.org/projects/99-summer-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"Parkside Commons Development - Chelsea","https://www.usgbc.org/projects/parkside-commons-development-chelsea","23 Nov 2009","Chelsea","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Citizens Bank, 28 State St","https://www.usgbc.org/projects/citizens-bank-28-state-st","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"Joint Services Lodging Facility","https://www.usgbc.org/projects/joint-services-lodging-facility","","Westover ARB","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Construction Manager","https://www.usgbc.org/projects/construction-manager","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Stop&Shop, #430","https://www.usgbc.org/projects/stopshop-430","2 Apr 2008","Bellingham","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Hayward Place","https://www.usgbc.org/projects/hayward-place","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Stop&Shop, #055","https://www.usgbc.org/projects/stopshop-055","2 Apr 2008","Brockton","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Stop&Shop, #018","https://www.usgbc.org/projects/stopshop-018","2 Apr 2008","Dorchester","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Stop&Shop, #429","https://www.usgbc.org/projects/stopshop-429","2 Apr 2008","Dorchester","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Genzyme Allston Phase 2","https://www.usgbc.org/projects/genzyme-allston-phase-2","20 Oct 2010","Allston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"Stop&Shop, #473","https://www.usgbc.org/projects/stopshop-473","2 Apr 2008","Fall River","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Harvard Business School Wyss House","https://www.usgbc.org/projects/harvard-business-school-wyss-house","15 Nov 2007","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"125 High St","https://www.usgbc.org/projects/125-high-st-0","21 Oct 2010","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009","Gold"
"TD Bank - Wayland MA - Boston Post Road","https://www.usgbc.org/projects/td-bank-wayland-ma-boston-post-road","27 Apr 2012","Wayland","Massachusetts [MA]","United States [us]","New Construction","v2009","Silver"
"Stop&Shop, #410","https://www.usgbc.org/projects/stopshop-410","2 Apr 2008","Gloucester","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"TD Bank-Woburn St-Lexington-MA","https://www.usgbc.org/projects/td-bank-woburn-st-lexington-ma","","Lexington","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Stop&Shop, #082","https://www.usgbc.org/projects/stopshop-082","2 Apr 2008","Halifax","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"YMCA Health & Wellness Center","https://www.usgbc.org/projects/ymca-health-wellness-center","","East Brookfield","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
