,Path,Certification date,City,State,Country,Rating system,Version,Certification level
35 Network Drive,https://www.usgbc.org/projects/35-network-drive-0,28-Sep-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
MassMutual,https://www.usgbc.org/projects/massmutual,1-Mar-11,Springfield,Massachusetts [MA],United States [us],Existing Buildings,v2.0,Silver
New England BioLabs GMP,https://www.usgbc.org/projects/new-england-biolabs-gmp,31-Oct-18,Rowley,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Certified
121 Seaport,https://www.usgbc.org/projects/121-seaport,29-Oct-18,Boston,Massachusetts [MA],United States [us],Core and Shell,v2009,Platinum
60 State Street,https://www.usgbc.org/projects/60-state-street-1,27-May-14,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
157 Berkeley Street,https://www.usgbc.org/projects/157-berkeley-street,26-Jan-15,,Massachusetts,United States,New Construction,v2009,Gold
545 Boylston v4 EB,https://www.usgbc.org/projects/545-boylston-v4-eb,26-Oct-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v4,Gold
Ellenzweig Office,https://www.usgbc.org/projects/ellenzweig-office,26-Oct-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Platinum
New Street,https://www.usgbc.org/projects/new-street,6-Mar-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
53 State Street,https://www.usgbc.org/projects/53-state-street,15-Jan-10,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2008,Gold
BNY Mellon Everett,https://www.usgbc.org/projects/bny-mellon-everett,8-Feb-10,Everett,Massachusetts [MA],United States [us],Existing Buildings,v2.0,Gold
UMMS Albert Sherman Center,https://www.usgbc.org/projects/umms-albert-sherman-center,11-Jan-13,Worcester,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Eplus Homes,https://www.usgbc.org/projects/eplus-homes-1,11-Apr-18,Boston,Massachusetts [MA],United States [us],Homes,v2008,Platinum
Eplus Homes,https://www.usgbc.org/projects/eplus-homes-2,11-Apr-18,Boston,Massachusetts [MA],United States [us],Homes,v2008,Platinum
Babson Commons at Horn Library,https://www.usgbc.org/projects/babson-commons-horn-library,,Wellesley,Massachusetts [MA],United States [us],New Construction,v4,Gold
John Adams Building,https://www.usgbc.org/projects/john-adams-building-0,10-May-18,Quincy,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
Starbucks Dedham Route 1 South,https://www.usgbc.org/projects/starbucks-dedham-route-1-south,4-Jul-18,Dedham,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Certified
535 Boylston v4 EB,https://www.usgbc.org/projects/535-boylston-v4-eb,3-Oct-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v4,Gold
Starbucks Park Plaza Boston,https://www.usgbc.org/projects/starbucks-park-plaza-boston,16-May-18,Boston,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Certified
"Starbucks Attleboro, Washington St.",https://www.usgbc.org/projects/starbucks-attleboro-washington-st,26-Apr-18,Attleboro,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Certified
Berkeley/Clarendon v4 EBOM,https://www.usgbc.org/projects/berkeleyclarendon-v4-ebom,17-Jul-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v4,Gold
601 Congress v4 EBOM,https://www.usgbc.org/projects/601-congress-v4-ebom,3-Jul-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v4,Platinum
245 Summer Street Recertification,https://www.usgbc.org/projects/245-summer-street-recertification-0,16-Oct-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Waltham/Weston Corporate Center,https://www.usgbc.org/projects/walthamweston-corporate-center,29-Jul-09,waltham,Massachusetts [MA],United States [us],Existing Buildings,v2008,Silver
Jacobs Boston Office - 120 SJ Ave,https://www.usgbc.org/projects/jacobs-boston-office-120-sj-ave,18-Oct-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v4,Gold
UMD CCB Learning Pavilion,https://www.usgbc.org/projects/umd-ccb-learning-pavilion,18-Oct-18,North Dartmouth,Massachusetts [MA],United States [us],New Construction,v2009,Gold
111 Huntington Avenue,https://www.usgbc.org/projects/111-huntington-avenue-0,8-Oct-10,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
The Mastlight - 10 Patriot Parkway,https://www.usgbc.org/projects/mastlight-10-patriot-parkway,10-Oct-18,South Weymouth,Massachusetts [MA],United States [us],New Construction,v2009,Silver
30 Ford Crossing,https://www.usgbc.org/projects/30-ford-crossing,25-Sep-18,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Platinum
22 Ford Crossing,https://www.usgbc.org/projects/22-ford-crossing,25-Sep-18,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
26 Ford Crossing,https://www.usgbc.org/projects/26-ford-crossing,25-Sep-18,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
34 Ford Crossing,https://www.usgbc.org/projects/34-ford-crossing,25-Sep-18,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Silver
