,Path,Certification date,City,State,Country,Rating system,Version,Certification level
NORTHEASTERN UNIVERSITY KOSTAS RES. CTR.,https://www.usgbc.org/projects/northeastern-university-kostas-res-ctr,18-Jun-14,Burlington,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Northeastern University Dockser Hall,https://www.usgbc.org/projects/northeastern-university-dockser-hall,6-Jul-10,Boston,Massachusetts [MA],United States [us],New Construction,v2.2,Gold
NORTHEASTERN UNIVERSITY INTERNATIONAL VL,https://www.usgbc.org/projects/northeastern-university-international-vl,31-Mar-10,Boston,Massachusetts [MA],United States [us],New Construction,v2.2,Gold
1st Sergeant Kevin A. Dupont Memorial MS,https://www.usgbc.org/projects/1st-sergeant-kevin-dupont-memorial-ms,24-Jul-17,Chicopee,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Hemenway Hall Renovation-FRC0802DC1,https://www.usgbc.org/projects/hemenway-hall-renovationfrc0802dc1,17-Jul-17,Framingham,Massachusetts [MA],United States [us],New Construction,v2009,Silver
MIT Building 2 Math,https://www.usgbc.org/projects/mit-building-2-math,13-Jul-17,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Cathedral Church of St Paul Renovations,https://www.usgbc.org/projects/cathedral-church-st-paul-renovations,7-Jul-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Marshall Conant Science Building,https://www.usgbc.org/projects/marshall-conant-science-building,5-Jul-17,Bridgewater,Massachusetts [MA],United States [us],New Construction,v2009,Silver
State Street - Channel Center,https://www.usgbc.org/projects/state-street-channel-center,29-Jun-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
UMass Boston University Hall,https://www.usgbc.org/projects/umass-boston-university-hall,8-Jun-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Eataly Boston,https://www.usgbc.org/projects/eataly-boston-0,7-Jun-17,Boston,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Gold
PHC Administrative Campus,https://www.usgbc.org/projects/phc-administrative-campus,7-Jun-17,Somerville,Massachusetts [MA],United States [us],New Construction,v4,Gold
Port Landing,https://www.usgbc.org/projects/port-landing,23-May-17,Cambridge,Massachusetts [MA],United States [us],Homes,v2008,Gold
525 Beach,https://www.usgbc.org/projects/525-beach,23-May-17,Revere,Massachusetts [MA],United States [us],Mid-rise,v2008,Silver
Kendig Street Project,https://www.usgbc.org/projects/kendig-street-project,11-May-17,Worcester,Massachusetts [MA],United States [us],Homes,v2008,Gold
Maplewood at Brewster MP Renaissance,https://www.usgbc.org/projects/maplewood-brewster-mp-renaissance,19-Apr-17,Brewster,Massachusetts [MA],United States [us],Homes,v2008,Silver
Bedford Green,https://www.usgbc.org/projects/bedford-green,13-Apr-17,Bedford,Massachusetts [MA],United States [us],Homes,v2008,Gold
99 Kneeland Street,https://www.usgbc.org/projects/99-kneeland-street,31-May-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
111 South Street,https://www.usgbc.org/projects/111-south-street-0,31-May-17,Plainville,Massachusetts [MA],United States [us],New Construction,v2009,Gold
RIAS Putnam House Renovations,https://www.usgbc.org/projects/rias-putnam-house-renovations,25-May-17,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Platinum
HBS Spangler Kitchen Expansion,https://www.usgbc.org/projects/hbs-spangler-kitchen-expansion,25-May-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
Wellington F15 - Atlantic Wharf Boston,https://www.usgbc.org/projects/wellington-f15-atlantic-wharf-boston,24-May-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Mass College of Art-Design MCA0602-DC1,https://www.usgbc.org/projects/mass-college-artdesign-mca0602dc1,23-May-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
West Hall,https://www.usgbc.org/projects/west-hall-1,18-May-17,Framingham,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Eastham Public Library,https://www.usgbc.org/projects/eastham-public-library,17-May-17,Eastham,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Thermo Fisher Scientific Headquarters,https://www.usgbc.org/projects/thermo-fisher-scientific-headquarters,15-May-17,Waltham,Massachusetts [MA],United States [us],New Construction,v2009,Silver
UMA Chapel Renovation,https://www.usgbc.org/projects/uma-chapel-renovation,8-May-17,Amherst,Massachusetts [MA],United States [us],New Construction,v2009,Gold
TripAdvisor Tenant Improvements,https://www.usgbc.org/projects/tripadvisor-tenant-improvements,8-May-17,Needham,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Platinum
New West Parish School,https://www.usgbc.org/projects/new-west-parish-school,6-May-17,Gloucester,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
170 Tracer Lane,https://www.usgbc.org/projects/170-tracer-lane-0,4-May-17,Waltham,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
Hammond Student Center Fitchburg State,https://www.usgbc.org/projects/hammond-student-center-fitchburg-state,27-Apr-17,Fitchburg,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
Smith College - Cutter Ziskind Houses,https://www.usgbc.org/projects/smith-college-cutter-ziskind-houses,20-Apr-17,Northampton,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Olmsted Place,https://www.usgbc.org/projects/olmsted-place,10-Apr-17,Jamaica Plain,Massachusetts [MA],United States [us],New Construction,v2009,Silver
AC Hotel,https://www.usgbc.org/projects/ac-hotel,10-Apr-17,Medford,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Martignetti - Massachusetts,https://www.usgbc.org/projects/martignetti-massachusetts,3-Apr-17,Taunton,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Lincoln Net Positive Farmhouse,https://www.usgbc.org/projects/lincoln-net-positive-farmhouse,30-Jan-17,Lincoln,Massachusetts [MA],United States [us],Homes,v2008,Platinum
Hampton Inn Worcester,https://www.usgbc.org/projects/hampton-inn-worcester,9-Mar-17,Worcester,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Atmark II,https://www.usgbc.org/projects/atmark-ii,8-Mar-17,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Atmark I,https://www.usgbc.org/projects/atmark-i,8-Mar-17,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Bristol-Myers Squibb CMB Project,https://www.usgbc.org/projects/bristolmyers-squibb-cmb-project,7-Mar-17,Devens,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Sheehan Hall,https://www.usgbc.org/projects/sheehan-hall-1,16-Feb-17,Worcester,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Harrison Ink Block Bldg 2,https://www.usgbc.org/projects/harrison-ink-block-bldg-2,2-Mar-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Harrison Ink Block Bldg 3,https://www.usgbc.org/projects/harrison-ink-block-bldg-3,2-Mar-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Harrison Ink Block Bldg 1,https://www.usgbc.org/projects/harrison-ink-block-bldg-1,2-Mar-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
East Somerville Community School,https://www.usgbc.org/projects/east-somerville-community-school,1-Mar-17,Somerville,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Certified
ACSB P3 Renovations,https://www.usgbc.org/projects/acsb-p3-renovations,22-Feb-17,Arlington,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
Shute Memorial Library Renovation,https://www.usgbc.org/projects/shute-memorial-library-renovation,21-Feb-17,Everett,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Certified
Watermark Seaport,https://www.usgbc.org/projects/watermark-seaport,21-Feb-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Renovate VAQ B5101 - WARB PN-0022,https://www.usgbc.org/projects/renovate-vaq-b5101-warb-pn0022,14-Feb-17,Chicopee,Massachusetts [MA],United States [us],New Construction,v2009,Silver
"75/125 Binney Street Cambridge, MA",https://www.usgbc.org/projects/75125-binney-street-cambridge-ma,30-Jan-17,Cambridge,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
1265 Main Street Office Building,https://www.usgbc.org/projects/1265-main-street-office-building,2-Feb-17,Waltham,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
McIlwain house,https://www.usgbc.org/projects/mcilwain-house,24-Dec-12,Rehoboth,Massachusetts [MA],United States [us],Homes,v2008,Silver
Babson College Park Manor West,https://www.usgbc.org/projects/babson-college-park-manor-west,20-Dec-16,Wellesley,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Blue Cross Blue Shield of Massachusetts,https://www.usgbc.org/projects/blue-cross-blue-shield-massachusetts-1,27-Jan-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Platinum
Blue Cross Blue Shield of Massachusetts,https://www.usgbc.org/projects/blue-cross-blue-shield-massachusetts-1,27-Jan-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Platinum
Avalon North Station,https://www.usgbc.org/projects/avalon-north-station,24-Jan-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
99 High Street Recertification,https://www.usgbc.org/projects/99-high-street-recertification,23-Jan-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Colegrove Park Elementary School,https://www.usgbc.org/projects/colegrove-park-elementary-school,23-Jan-17,North Adams,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
Fuse Cambridge,https://www.usgbc.org/projects/fuse-cambridge,19-Jan-17,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Bridgewater Academy Building,https://www.usgbc.org/projects/bridgewater-academy-building,18-Jan-17,Bridgewater,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Angier Elementary School,https://www.usgbc.org/projects/angier-elementary-school,11-Jan-17,Newton,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
North Reading Middle-High School,https://www.usgbc.org/projects/north-reading-middlehigh-school,20-Dec-16,North Reading,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
FAS Eddy Rivas Lab Renovation,https://www.usgbc.org/projects/fas-eddy-rivas-lab-renovation,9-Dec-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
UMA Academic/Classroom Bldg UMA0801-DC1,https://www.usgbc.org/projects/uma-academicclassroom-bldg-uma0801dc1,9-Dec-16,Amherst,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Paradise Road - House 2,https://www.usgbc.org/projects/paradise-road-house-2,14-Nov-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
Paradise Road - House 5,https://www.usgbc.org/projects/paradise-road-house-5,14-Nov-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
Paradise Road - House 3,https://www.usgbc.org/projects/paradise-road-house-3,14-Nov-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
Paradise Road - House 4,https://www.usgbc.org/projects/paradise-road-house-4,14-Nov-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
Soldier On - Building D,https://www.usgbc.org/projects/soldier-building-d,14-Nov-16,Leeds,Massachusetts [MA],United States [us],Homes,v2008,Gold
Paradise Road - House 1,https://www.usgbc.org/projects/paradise-road-house-1,14-Nov-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
Soldier On - Building A,https://www.usgbc.org/projects/soldier-building,14-Nov-16,Leeds,Massachusetts [MA],United States [us],Homes,v2008,Gold
Soldier On - Building B,https://www.usgbc.org/projects/soldier-building-b,14-Nov-16,Leeds,Massachusetts [MA],United States [us],Homes,v2008,Gold
Soldier On - Building C,https://www.usgbc.org/projects/soldier-building-c,14-Nov-16,Leeds,Massachusetts [MA],United States [us],Homes,v2008,Gold
Harvard Ed Portal,https://www.usgbc.org/projects/harvard-ed-portal,5-Dec-16,Allston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
Plains Elementary School,https://www.usgbc.org/projects/plains-elementary-school,22-Nov-16,South Hadley,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Renovate VAQ B5102 - WARB PN-0023,https://www.usgbc.org/projects/renovate-vaq-b5102-warb-pn0023,22-Nov-16,Chicopee,Massachusetts [MA],United States [us],New Construction,v2009,Silver
225 Franklin Street,https://www.usgbc.org/projects/225-franklin-street,18-Nov-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Platinum
Marriott Residence Inn Watertown,https://www.usgbc.org/projects/marriott-residence-inn-watertown,17-Nov-16,Watertown,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Bright Hockey Addition - Harvard FAS,https://www.usgbc.org/projects/bright-hockey-addition-harvard-fas,10-Nov-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Steelcase/Red Thread Boston WorkLife,https://www.usgbc.org/projects/steelcasered-thread-boston-worklife,2-Nov-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
FAS Extavour Lab,https://www.usgbc.org/projects/fas-extavour-lab,27-Oct-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v4,Certified
Wilmington High School,https://www.usgbc.org/projects/wilmington-high-school,17-Oct-16,Wilmington,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
Keurig Green Mountain 201 Burlington Rd,https://www.usgbc.org/projects/keurig-green-mountain-201-burlington-rd,6-Oct-16,Bedford,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Harvard Pilgrim Institute,https://www.usgbc.org/projects/harvard-pilgrim-institute,4-Oct-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
15 Network Drive,https://www.usgbc.org/projects/15-network-drive-0,30-Sep-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
"Starbucks Waltham, Market Place Drive",https://www.usgbc.org/projects/starbucks-waltham-market-place-drive,28-Sep-16,Waltham,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Silver
Starbucks Hadley,https://www.usgbc.org/projects/starbucks-hadley,28-Sep-16,Hadley,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Certified
55 Network Drive,https://www.usgbc.org/projects/55-network-drive-0,28-Sep-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
45 Network Drive,https://www.usgbc.org/projects/45-network-drive-0,28-Sep-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Starbucks Westwood Station,https://www.usgbc.org/projects/starbucks-westwood-station,27-Sep-16,Westwood,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Certified
"Starbucks Waltham, Trapelo Rd",https://www.usgbc.org/projects/starbucks-waltham-trapelo-rd,27-Sep-16,Waltham,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Silver
UMass Lowell McGauvran Hall Dining,https://www.usgbc.org/projects/umass-lowell-mcgauvran-hall-dining,26-Sep-16,Lowell,Massachusetts [MA],United States [us],New Construction,v2009,Silver
125 Summer Street,https://www.usgbc.org/projects/125-summer-street,20-Sep-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Greenfield High School,https://www.usgbc.org/projects/greenfield-high-school,20-Sep-16,Greenfield,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
610 Main Street - North,https://www.usgbc.org/projects/610-main-street-north,19-Sep-16,Cambridge,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
Weston Hall,https://www.usgbc.org/projects/weston-hall,14-Sep-16,Williamstown,Massachusetts [MA],United States [us],New Construction,v2009,Gold
National Office Furniture Showroom,https://www.usgbc.org/projects/national-office-furniture-showroom-0,13-Sep-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
UMass Amherst LCC Dining Renovation,https://www.usgbc.org/projects/umass-amherst-lcc-dining-renovation,13-Sep-16,Amherst,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Gold
Converse Factory Store: Wrentham,https://www.usgbc.org/projects/converse-factory-store-wrentham,12-Sep-16,Wrentham,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Silver
The Winsor School Lubin-O'Donnell Center,https://www.usgbc.org/projects/winsor-school-lubinodonnell-center,8-Sep-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
65 Network Drive,https://www.usgbc.org/projects/65-network-drive-0,1-Sep-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Integrated Sciences Complex,https://www.usgbc.org/projects/integrated-sciences-complex,30-Aug-16,Boston,Massachusetts [MA],United States [us],New Construction,v2.2,Gold
Apple Office Cambridge MA,https://www.usgbc.org/projects/apple-office-cambridge-ma,29-Aug-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
75 Network Drive,https://www.usgbc.org/projects/75-network-drive-0,29-Aug-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
South Hadley Public Library,https://www.usgbc.org/projects/south-hadley-public-library,25-Aug-16,South Hadley,Massachusetts [MA],United States [us],New Construction,v2009,Silver
300 Apollo,https://www.usgbc.org/projects/300-apollo,21-Aug-16,Chelmsford,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
95 Network Drive,https://www.usgbc.org/projects/95-network-drive-0,18-Aug-16,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
125 High Street,https://www.usgbc.org/projects/125-high-street-0,17-Aug-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
"Chase Dining Hall, Wheaton College",https://www.usgbc.org/projects/chase-dining-hall-wheaton-college,15-Aug-16,Norton,Massachusetts [MA],United States [us],New Construction,v2009,Silver
TD Bank - Waltham MA - 751 Main Street,https://www.usgbc.org/projects/td-bank-waltham-ma-751-main-street,12-Aug-16,Waltham,Massachusetts [MA],United States [us],Retail - New Construction,v2009,Gold
Aspuru-Guzik Laboratory,https://www.usgbc.org/projects/aspuruguzik-laboratory,28-Jul-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
TripAdvisor Center 128,https://www.usgbc.org/projects/tripadvisor-center-128,25-Jul-16,Needham,Massachusetts [MA],United States [us],Core and Shell,v2009,Silver
New East Bridgewater Jr / Sr High School,https://www.usgbc.org/projects/new-east-bridgewater-jr-sr-high-school,25-Jul-16,East Bridgewater,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Northeastern University East Village,https://www.usgbc.org/projects/northeastern-university-east-village,7-Jun-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Westn MA Regnl Women Corr Ctr SDH1001DC1,https://www.usgbc.org/projects/westn-ma-regnl-women-corr-ctr-sdh1001dc1,18-Jul-16,Chicopee,Massachusetts [MA],United States [us],New Construction,v2009,Gold
UMass Amherst New Science Building,https://www.usgbc.org/projects/umass-amherst-new-science-building,13-Apr-15,Amherst,Massachusetts [ma],United States [us],New Construction,v2.2,Gold
Kohls East Springfield,https://www.usgbc.org/projects/kohls-east-springfield,27-Jun-16,East Springfield,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
Kohls Framingham,https://www.usgbc.org/projects/kohls-framingham,27-Jun-16,Framingham,Massachusetts [MA],United States [us],Existing Buildings,v2009,Certified
Kohls Woburn Recertification,https://www.usgbc.org/projects/kohls-woburn-recertification,27-Jun-16,Woburn,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
Kohls Hingham Recertification,https://www.usgbc.org/projects/kohls-hingham-recertification,24-Jun-16,Hingham,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
Girguis Laboratory - Harvard FAS,https://www.usgbc.org/projects/girguis-laboratory-harvard-fas,27-Jun-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
TownePlace Suite-Chelsea,https://www.usgbc.org/projects/towneplace-suitechelsea,29-Jun-16,Chelsea,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Weston Field Sports Complex,https://www.usgbc.org/projects/weston-field-sports-complex-0,28-Jun-16,Williamstown,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Fairfield Inn and Suites  Cambridge  MA,https://www.usgbc.org/projects/fairfield-inn-and-suites-cambridge-ma,24-Jun-16,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Penn Brook Elementary School,https://www.usgbc.org/projects/penn-brook-elementary-school,14-Jun-16,Georgetown,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Teknion Boston Showroom,https://www.usgbc.org/projects/teknion-boston-showroom,8-Jun-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Platinum
4 Burlington Woods,https://www.usgbc.org/projects/4-burlington-woods,8-Jun-16,Burlington,Massachusetts [MA],United States [us],Core and Shell,v2009,Certified
Nock-Molin School Renovations,https://www.usgbc.org/projects/nockmolin-school-renovations,7-Jun-16,Newburyport,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
320 Summer Street,https://www.usgbc.org/projects/320-summer-street,7-Jun-16,Boston,Massachusetts [MA],United States [us],Core and Shell,v2009,Certified
Craftsman E South,https://www.usgbc.org/projects/craftsman-e-south,20-May-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Silver
Craftsman E North,https://www.usgbc.org/projects/craftsman-e-north,20-May-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Silver
Old Colony Public Housing Redevelopment,https://www.usgbc.org/projects/old-colony-public-housing-redevelopment-2,26-May-16,Boston,Massachusetts [MA],United States [us],Neighborhood Development,v2009,Gold
One Federal Street,https://www.usgbc.org/projects/one-federal-street,24-May-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Ayer Shirley Regional High School,https://www.usgbc.org/projects/ayer-shirley-regional-high-school,20-May-16,Ayer,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Farm Life Center at Drumlin Farm,https://www.usgbc.org/projects/farm-life-center-drumlin-farm,20-May-16,Lincoln,Massachusetts [MA],United States [us],New Construction,v2.2,Gold
275 Wyman Street,https://www.usgbc.org/projects/275-wyman-street,19-May-16,Waltham,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
Two Financial Center,https://www.usgbc.org/projects/two-financial-center,17-May-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
MA Maritime Acad.: Library Modernization,https://www.usgbc.org/projects/ma-maritime-acad-library-modernization,16-May-16,Buzzards Bay,Massachusetts [MA],United States [us],New Construction,v2.2,Platinum
Dudley Municipal Office Facility,https://www.usgbc.org/projects/dudley-municipal-office-facility,9-May-16,Roxbury,Massachusetts [MA],United States [us],New Construction,v2009,Gold
UMass Lowell - University Crossing,https://www.usgbc.org/projects/umass-lowell-university-crossing,4-May-16,Lowell,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Charles River Community Health,https://www.usgbc.org/projects/charles-river-community-health,27-Apr-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Certified
Christopher Heights,https://www.usgbc.org/projects/christopher-heights,13-Apr-16,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Gold
MCLA Science-Innovation Ctr NAC1001DC1,https://www.usgbc.org/projects/mcla-scienceinnovation-ctr-nac1001dc1,21-Apr-16,North Adams,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Barrys Corner,https://www.usgbc.org/projects/barrys-corner,20-Apr-16,Allston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
HLS Pound Hall 2nd Floor,https://www.usgbc.org/projects/hls-pound-hall-2nd-floor,19-Apr-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
UPH Facility at USCG Base Cape Cod,https://www.usgbc.org/projects/uph-facility-uscg-base-cape-cod,7-Apr-16,Buzzards Bay,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Women Veteran's Housing,https://www.usgbc.org/projects/women-veterans-housing,23-Feb-16,Leeds,Massachusetts [MA],United States [us],Homes,v2008,Gold
Ni Laboratory Renovation,https://www.usgbc.org/projects/ni-laboratory-renovation,24-Mar-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
101 Seaport at Seaport Square,https://www.usgbc.org/projects/101-seaport-seaport-square,24-Mar-16,Boston,Massachusetts [MA],United States [us],Core and Shell,v2009,Platinum
Atlantic Wharf,https://www.usgbc.org/projects/atlantic-wharf-0,17-Mar-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Platinum
Somerset Berkley Regional High School,https://www.usgbc.org/projects/somerset-berkley-regional-high-school,15-Mar-16,Somerset,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
20 Franklin Street,https://www.usgbc.org/projects/20-franklin-street,14-Mar-16,Worcester,Massachusetts [MA],United States [us],Core and Shell,v2009,Certified
TD Bank - Auburn MA - 460 Southbridge St,https://www.usgbc.org/projects/td-bank-auburn-ma-460-southbridge-st,13-Mar-16,Auburn,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Certified
Keurig Green Mountain 53 South Ave,https://www.usgbc.org/projects/keurig-green-mountain-53-south-ave,1-Feb-16,Burlington,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
610 Lincoln Street North,https://www.usgbc.org/projects/610-lincoln-street-north,3-Mar-16,Waltham,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
Osram Sylvania Americas Headquarters,https://www.usgbc.org/projects/osram-sylvania-americas-headquarters,1-Mar-16,Wilmington,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Central Fire Station,https://www.usgbc.org/projects/central-fire-station,29-Feb-16,Arlington,Massachusetts [MA],United States [us],New Construction,v2.2,Gold
UML0802 Health and Social Sciences Bldg,https://www.usgbc.org/projects/uml0802-health-and-social-sciences-bldg,26-Feb-16,Lowell,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Franklin High School,https://www.usgbc.org/projects/franklin-high-school,17-Feb-16,Franklin,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
TD Bank - Burlington MA - 184 Cambridge,https://www.usgbc.org/projects/td-bank-burlington-ma-184-cambridge,16-Feb-16,Burlington,Massachusetts [MA],United States [us],Retail - New Construction,v2009,Gold
Pier 4,https://www.usgbc.org/projects/pier-4,10-Feb-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Certified
61 Spring Street,https://www.usgbc.org/projects/61-spring-street,9-Feb-16,Williamstown,Massachusetts [MA],United States [us],Core and Shell,v2.0,Gold
The Lancaster,https://www.usgbc.org/projects/lancaster-0,28-Jan-16,Boston,Massachusetts [MA],United States [us],Homes,v2008,Gold
TD Bank - Concord MA - 1112 Main Street,https://www.usgbc.org/projects/td-bank-concord-ma-1112-main-street-0,6-Feb-16,Concord,Massachusetts [MA],United States [us],Retail - New Construction,v2009,Gold
Parcel B - Vertex Global Headquarters,https://www.usgbc.org/projects/parcel-b-vertex-global-headquarters,29-Jan-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Parcel A - Vertex Global Headquarters,https://www.usgbc.org/projects/parcel-vertex-global-headquarters,29-Jan-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Bancroft Elementary School,https://www.usgbc.org/projects/bancroft-elementary-school-0,29-Jan-16,Andover,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Cape Associates Eastham Office,https://www.usgbc.org/projects/cape-associates-eastham-office,28-Jan-16,Eastham,Massachusetts [MA],United States [us],New Construction,v2009,Gold
HUH 29 Gardens St Student Commons,https://www.usgbc.org/projects/huh-29-gardens-st-student-commons,21-Jan-16,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
Plainridge Park Casino,https://www.usgbc.org/projects/plainridge-park-casino,14-Jan-16,Plainville,Massachusetts [MA],United States [us],New Construction,v2009,Gold
